Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"EMG","MAN GROUP PLC","Equity","0.25","2.02","158,896.00","320,347.28","320,347.28","Financials","B83VD95","GB00B83VD954","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"FBK","FINECOBANK BANCA FINECO","Equity","0.25","8.53","37,426.00","319,292.96","319,292.96","Financials","BNGN9Z1","IT0000072170","Borsa Italiana S.P.A.","Italy","USD","EUR","0.88"
"DLG","DIALOG SEMICON PLC","Equity","0.25","43.30","7,363.00","318,825.12","318,825.12","Information Technology","5982200","GB0059822006","Xetra","Germany","USD","EUR","0.88"
"ASRNL","ASR NEDERLAND NV","Equity","0.25","34.54","9,226.00","318,680.40","318,680.40","Financials","BD9PNF2","NL0011872643","Nyse Euronext - Euronext Amsterdam","Netherlands","USD","EUR","0.88"
"ICP","INTERMEDIATE CAPITAL GROUP PLC","Equity","0.25","11.48","27,588.00","316,678.38","316,678.38","Financials","BYT1DJ1","GB00BYT1DJ19","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"NIBE B","NIBE INDUSTRIER","Equity","0.25","9.39","33,595.00","315,488.01","315,488.01","Industrials","BYYT1T6","SE0008321293","Nasdaq Omx Nordic","Sweden","USD","SEK","8.45"
"KESKOB","KESKO","Equity","0.24","49.74","6,153.00","306,046.44","306,046.44","Consumer Staples","4490005","FI0009000202","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.88"
"STB","STOREBRAND ASA","Equity","0.24","7.19","42,480.00","305,225.73","305,225.73","Financials","4852832","NO0003053605","Oslo Bors Asa","Norway","USD","NOK","8.36"
"GLPG","GALAPAGOS NV","Equity","0.24","75.04","4,063.00","304,874.46","304,874.46","Health Care","B07Q2V5","BE0003818359","Nyse Euronext - Euronext Amsterdam","Belgium","USD","EUR","0.88"
"CYBG","CYBG PLC","Equity","0.24","3.66","83,310.00","304,743.92","304,743.92","Financials","BD6GN03","GB00BD6GN030","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"SAAB B","SAAB B","Equity","0.24","49.41","6,092.00","301,007.73","301,007.73","Industrials","5469554","SE0000112385","Nasdaq Omx Nordic","Sweden","USD","SEK","8.45"
"PTEC","PLAYTECH PLC","Equity","0.24","12.51","24,033.00","300,610.80","300,610.80","Information Technology","B7S9G98","IM00B7S9G985","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"BME","B&M EUROPEAN VALUE RETAIL SA","Equity","0.24","4.49","66,227.00","297,566.49","297,566.49","Consumer Discretionary","BMTRW10","LU1072616219","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"ELIOR","ELIOR GROUP","Equity","0.23","28.02","10,554.00","295,758.05","295,758.05","Consumer Discretionary","BN40H61","FR0011950732","Nyse Euronext - Euronext Paris","France","USD","EUR","0.88"
